Date,Company Name,Research by,Reco Price,Target
"May 09, 2025",Harsha Engineer,Prabhudas Lilladher,357.2,398 (3.4%)
"May 09, 2025",Aarti Ind,Prabhudas Lilladher,451.6,394 (-10.7%)
"May 08, 2025",Asian Paints,Prabhudas Lilladher,2302.5,2142 (-6.2%)
"May 08, 2025",Coal India,Sharekhan,385.2,450 (15.6%)
"May 08, 2025",Dabur India,Emkay Global Financial Services,469.25,450 (-3.6%)
"May 08, 2025",Coal India,Emkay Global Financial Services,385.2,475 (22%)
"May 08, 2025",Godrej Consumer,Emkay Global Financial Services,1239.85,1400 (17.7%)
"May 08, 2025",Bank of Baroda,Emkay Global Financial Services,217.2,280 (19.5%)
"May 08, 2025",Sonata,Emkay Global Financial Services,392.3,475 (19.3%)
"May 08, 2025",PNB,Emkay Global Financial Services,91.35,125 (21.3%)
"May 08, 2025",HINDPETRO,Emkay Global Financial Services,387.1,500 (27.4%)
"May 08, 2025",Avalon Tech,Prabhudas Lilladher,813.2,927 (10.9%)
"May 08, 2025",Sapphire Foods,Emkay Global Financial Services,299.45,370 (13.7%)
"May 08, 2025",Mahanagar Gas,Emkay Global Financial Services,1368,1700 (21.8%)
"May 08, 2025",Bank of Baroda,LKP Securities Limited,217.2,253 (8%)
"May 07, 2025",KEI Industries,Sharekhan,3294.85,3800 (6.3%)
"May 07, 2025",Kansai Nerolac,Prabhudas Lilladher,255.05,284 (18.4%)
"May 07, 2025",Dabur India,Prabhudas Lilladher,482.6,501 (7.3%)
"May 07, 2025",Bank of Baroda,Prabhudas Lilladher,224.6,275 (17.4%)
"May 07, 2025",Polycab,Prabhudas Lilladher,5885.85,7152 (19.1%)
"May 07, 2025",Polycab,Sharekhan,5885.85,7300 (21.6%)
"May 06, 2025",Kajaria Ceramic,Motilal Oswal,797.7,950 (-7%)
"May 06, 2025",CAMS,Motilal Oswal,3606.9,4300 (3.1%)
"May 06, 2025",BSE Limited,Motilal Oswal,0,7600 (182.7%)
